                group_name                |             member_group_name             |  member_user_email  |             last_group_name              |                                                                                     path                                                                                      
------------------------------------------+-------------------------------------------+---------------------+------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 BOT_1_GROUP_NAME                         | managed-group_BOT_1_GROUP_NAME_admin      |                     | BOT_1_GROUP_NAME                         | {BOT_1_GROUP_NAME}
 BOT_1_GROUP_NAME                         | managed-group_BOT_1_GROUP_NAME_member     |                     | BOT_1_GROUP_NAME                         | {BOT_1_GROUP_NAME}
 BOT_1_GROUP_NAME                         |                                           | dvoettest@gmail.com | managed-group_BOT_1_GROUP_NAME_admin     | {BOT_1_GROUP_NAME,managed-group_BOT_1_GROUP_NAME_admin}
 BOT_1_GROUP_NAME                         |                                           | user_1@fake.com     | managed-group_BOT_1_GROUP_NAME_member    | {BOT_1_GROUP_NAME,managed-group_BOT_1_GROUP_NAME_member}
 BOT_2_GROUP_NAME                         | managed-group_BOT_2_GROUP_NAME_admin      |                     | BOT_2_GROUP_NAME                         | {BOT_2_GROUP_NAME}
 BOT_2_GROUP_NAME                         | managed-group_BOT_2_GROUP_NAME_member     |                     | BOT_2_GROUP_NAME                         | {BOT_2_GROUP_NAME}
 BOT_2_GROUP_NAME                         |                                           | dvoettest@gmail.com | managed-group_BOT_2_GROUP_NAME_admin     | {BOT_2_GROUP_NAME,managed-group_BOT_2_GROUP_NAME_admin}
 BOT_2_GROUP_NAME                         |                                           | user_1@fake.com     | managed-group_BOT_2_GROUP_NAME_member    | {BOT_2_GROUP_NAME,managed-group_BOT_2_GROUP_NAME_member}
 BOT_GROUP_NAME                           | managed-group_BOT_GROUP_NAME_admin        |                     | BOT_GROUP_NAME                           | {BOT_GROUP_NAME}
 BOT_GROUP_NAME                           | managed-group_BOT_GROUP_NAME_member       |                     | BOT_GROUP_NAME                           | {BOT_GROUP_NAME}
 BOT_GROUP_NAME                           |                                           | dvoettest@gmail.com | managed-group_BOT_GROUP_NAME_admin       | {BOT_GROUP_NAME,managed-group_BOT_GROUP_NAME_admin}
 BOT_GROUP_NAME                           |                                           | user_4@fake.com     | managed-group_BOT_GROUP_NAME_member      | {BOT_GROUP_NAME,managed-group_BOT_GROUP_NAME_member}
 BOT_GROUP_NAME                           |                                           | user_5@fake.com     | managed-group_BOT_GROUP_NAME_member      | {BOT_GROUP_NAME,managed-group_BOT_GROUP_NAME_member}
 BOT_GROUP_NAME                           |                                           | user_6@fake.com     | managed-group_BOT_GROUP_NAME_member      | {BOT_GROUP_NAME,managed-group_BOT_GROUP_NAME_member}
 EMPTY_GROUP_NAME                         | managed-group_EMPTY_GROUP_NAME_admin      |                     | EMPTY_GROUP_NAME                         | {EMPTY_GROUP_NAME}
 EMPTY_GROUP_NAME                         | managed-group_EMPTY_GROUP_NAME_member     |                     | EMPTY_GROUP_NAME                         | {EMPTY_GROUP_NAME}
 EMPTY_GROUP_NAME                         |                                           | dvoettest@gmail.com | managed-group_EMPTY_GROUP_NAME_admin     | {EMPTY_GROUP_NAME,managed-group_EMPTY_GROUP_NAME_admin}
 L1_GROUP_1                               | L2_GROUP_1                                |                     | managed-group_L1_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member}
 L1_GROUP_1                               | L2_GROUP_3                                |                     | managed-group_L1_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member}
 L1_GROUP_1                               | L3_GROUP_1                                |                     | managed-group_L2_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member}
 L1_GROUP_1                               | L3_GROUP_3                                |                     | managed-group_L2_GROUP_3_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member}
 L1_GROUP_1                               | L3_GROUP_4                                |                     | managed-group_L2_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member}
 L1_GROUP_1                               | L3_GROUP_4                                |                     | managed-group_L2_GROUP_3_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member}
 L1_GROUP_1                               | L4_GROUP_1                                |                     | managed-group_L3_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member,L3_GROUP_1,managed-group_L3_GROUP_1_member}
 L1_GROUP_1                               | L4_GROUP_2                                |                     | managed-group_L3_GROUP_4_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member,L3_GROUP_4,managed-group_L3_GROUP_4_member}
 L1_GROUP_1                               | L4_GROUP_2                                |                     | managed-group_L3_GROUP_4_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member,L3_GROUP_4,managed-group_L3_GROUP_4_member}
 L1_GROUP_1                               | L4_GROUP_3                                |                     | managed-group_L3_GROUP_3_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member,L3_GROUP_3,managed-group_L3_GROUP_3_member}
 L1_GROUP_1                               | L4_GROUP_4                                |                     | managed-group_L3_GROUP_1_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member,L3_GROUP_1,managed-group_L3_GROUP_1_member}
 L1_GROUP_1                               | L4_GROUP_4                                |                     | managed-group_L3_GROUP_3_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member,L3_GROUP_3,managed-group_L3_GROUP_3_member}
 L1_GROUP_1                               | L4_GROUP_4                                |                     | managed-group_L3_GROUP_4_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1,managed-group_L2_GROUP_1_member,L3_GROUP_4,managed-group_L3_GROUP_4_member}
 L1_GROUP_1                               | L4_GROUP_4                                |                     | managed-group_L3_GROUP_4_member          | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3,managed-group_L2_GROUP_3_member,L3_GROUP_4,managed-group_L3_GROUP_4_member}
 L1_GROUP_1                               | managed-group_L1_GROUP_1_admin            |                     | L1_GROUP_1                               | {L1_GROUP_1}
 L1_GROUP_1                               | managed-group_L1_GROUP_1_member           |                     | L1_GROUP_1                               | {L1_GROUP_1}
 L1_GROUP_1                               | managed-group_L2_GROUP_1_admin            |                     | L2_GROUP_1                               | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1}
 L1_GROUP_1                               | managed-group_L2_GROUP_1_member           |                     | L2_GROUP_1                               | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_1}
 L1_GROUP_1                               | managed-group_L2_GROUP_3_admin            |                     | L2_GROUP_3                               | {L1_GROUP_1,managed-group_L1_GROUP_1_member,L2_GROUP_3}
